Date,Target,Predictions
2023-05-16 00:00:00-04:00,1,0.0
2023-05-17 00:00:00-04:00,1,0.0
2023-05-18 00:00:00-04:00,1,0.0
2023-05-19 00:00:00-04:00,1,0.0
2023-05-22 00:00:00-04:00,0,0.0
2023-05-23 00:00:00-04:00,0,0.0
2023-05-24 00:00:00-04:00,1,0.0
2023-05-25 00:00:00-04:00,1,0.0
2023-05-26 00:00:00-04:00,1,0.0
2023-05-30 00:00:00-04:00,1,0.0
2023-05-31 00:00:00-04:00,1,0.0
2023-06-01 00:00:00-04:00,1,0.0
2023-06-02 00:00:00-04:00,1,0.0
2023-06-05 00:00:00-04:00,1,0.0
2023-06-06 00:00:00-04:00,1,0.0
2023-06-07 00:00:00-04:00,1,0.0
2023-06-08 00:00:00-04:00,1,0.0
2023-06-09 00:00:00-04:00,1,0.0
2023-06-12 00:00:00-04:00,1,0.0
2023-06-13 00:00:00-04:00,0,0.0
2023-06-14 00:00:00-04:00,0,0.0
2023-06-15 00:00:00-04:00,1,0.0
2023-06-16 00:00:00-04:00,1,0.0
2023-06-20 00:00:00-04:00,0,0.0
2023-06-21 00:00:00-04:00,1,0.0
2023-06-22 00:00:00-04:00,0,0.0
2023-06-23 00:00:00-04:00,0,0.0
2023-06-26 00:00:00-04:00,1,0.0
2023-06-27 00:00:00-04:00,1,0.0
2023-06-28 00:00:00-04:00,1,0.0
2023-06-29 00:00:00-04:00,1,0.0
2023-06-30 00:00:00-04:00,1,0.0
2023-07-03 00:00:00-04:00,1,0.0
2023-07-05 00:00:00-04:00,0,0.0
2023-07-06 00:00:00-04:00,0,0.0
2023-07-07 00:00:00-04:00,0,0.0
2023-07-10 00:00:00-04:00,1,0.0
2023-07-11 00:00:00-04:00,1,0.0
2023-07-12 00:00:00-04:00,1,0.0
2023-07-13 00:00:00-04:00,1,0.0
2023-07-14 00:00:00-04:00,1,0.0
2023-07-17 00:00:00-04:00,1,0.0
2023-07-18 00:00:00-04:00,0,0.0
